"question","golden_answers","golden_law_context","golden_case_context","top_k_law_statutes","top_k_case_statutes","any_correct_law_retrieved","any_correct_case_retrieved","any_correct_retrieved"
"An individual in removal proceedings had their application for asylum and other relief denied due to failure to submit biometrics, despite being previously instructed by the Immigration Judge while pro se. They subsequently retained counsel, who also failed to advise them about the biometrics requirement. After the denial, and more than 90 days after the final order of removal, they filed a motion to reopen, arguing ineffective assistance of counsel prevented a merits hearing and that this justified equitable tolling of the filing deadline. They also requested *sua sponte* reopening by the Board of Immigration Appeals. Could this individual successfully overturn the denial of their motion to reopen based on equitable tolling due to counsel's ineffectiveness or compel the BIA to *sua sponte* reopen their case?","No, the individual could not successfully overturn the denial of their motion to reopen based on equitable tolling or compel the BIA to *sua sponte* reopen their case. The court found that even if counsel's failure to remind about biometrics was ineffective, there was no argument that counsel's ineffectiveness caused the motion to reopen itself to be untimely filed. The failure to move in a timely fashion to reopen was an independent basis for denying relief, and the individual failed to show any basis for equitable tolling of the filing deadline for reopening. Additionally, the court lacks jurisdiction to review the BIA's discretionary decision not to invoke its *sua sponte* authority to reopen a case.","[]","['mata v lynch', 'heckler v chaney', 'garcia v garland', 'eneugwu v garland', 'diaz v sessions', 'mejia v whitaker', 'kucana v holder', 'rashidi v american president lines', 'united states v english', 'ramos-portillo v barr', 'dada v mukasey', 'lugo-resendez v lynch']","[]","[{'title': 'brooks v board of immigration appeals', 'chunk': 'is presumptive evidence of  intent to use the same unlawfully against another.”). An intent is not somehow fictitious simply  because, as an evidentiary matter, it is established through a statutory presumption. Once the  presumption is invoked, it may be rebutted. If it is not rebutted, the intent is an established  element of the crime. The subsequent question of whether in all cases the existence of such an  intent presents a substantial risk that force will be used remains unchanged. Brooks does not contest that he was convicted of criminal possession under §  265.03(1)(b). The BIA therefore correctly concluded that he was removable and statutorily  ineligible for cancellation of removal. -6-  We have considered Brooks’s other arguments and find them to be without merit. For the  foregoing reasons, the petition for review is DENIED. -7-'}, {'title': 'munoz-de zelaya v garland', 'chunk': 'The Fifth Circuit Court of Appeals denied the petition for review in the immigration case Munoz-De Zelaya v. Garland. The petitioners, Yanci Liseth Munoz-De Zelaya and Jose Roberto Zelaya-Guerrero, sought asylum and withholding of removal based on being ""Salvadoran business owners,"" which the court did not recognize as a protected social group. The court filed the document on September 12, 2023.'}, {'title': 'aguilar-mendez', 'chunk': 'The Immigration Judge also denied the respondent’s request for voluntary departure. The respondent argues on appeal that he is eligible for cancellation of removal because his conviction for assault under California law is not one for a crime involving moral turpitude. He also contends that he is eligible for voluntary departure and warrants this benefit as a matter of discretion. During the pendency of his appeal, he filed a motion to terminate, arguing that his notice to appear was defective and did not vest the Immigration Judge with jurisdiction over his removal proceedings because it failed to specify the time and date of his initial hearing. We review these questions of law, discretion, and judgment de novo. 8 C.F.R. § 1003.1(d)(3)(ii) (2020). II. ANALYSIS A. Cancellation of Removal  To establish eligibility for cancellation of removal, the respondent must demonstrate, among other things, that he has not been convicted of a crime involving moral turpitude under section 212(a)(2)(A)(i)(I) of the Act. Section 240A(b)(1)(C) of the Act; see also 8 C.F.R. § 1240.8(d) (2020).'}]","0","0","0"
"An organization, ""Global Solutions Institute,"" seeks an H-1B visa cap exemption as a ""nonprofit research organization."" USCIS denies the petition, interpreting ""primarily engaged in basic research and/or applied research"" to mean ""directly and principally engaged in research,"" and finds Global Solutions Institute's evidence insufficient to meet this standard. Global Solutions Institute challenges this denial under the Administrative Procedure Act, arguing that USCIS misinterpreted its regulation, its decision lacked factual support, and it failed to explain its departure from prior approvals of similar petitions. Based on the provided case, how would a U.S. federal court likely rule on Global Solutions Institute's challenge?","A U.S. federal court would likely rule in favor of USCIS, upholding the denial of the H-1B visa cap exemption. The court in the analogous case found USCIS's interpretation of ""primarily engaged in basic research and/or applied research"" as meaning ""directly and principally engaged in research"" to be unambiguously correct, aligning with dictionary definitions, statutory text, and regulatory history. The court would likely defer to the agency's factual assessment, finding that USCIS's conclusion that the organization failed to meet its evidentiary burden was fair and reasonable, considering the evidence in proportion to its other activities. Finally, regarding prior approvals, the court would likely find that an agency is permitted to change its position, and USCIS adequately explained its decision by acknowledging prior approvals and providing a detailed, reasoned analysis of the current petition based on the record, which is sufficient under the Administrative Procedure Act.","[]","['city of dania beach fla. v faa', 'kisor v wilkie', 'van hollen jr. v fec', 'fcc v fox television stations inc.', 'christopher v smithkline beecham corp.', 'cts corp. v epa', 'am. bioscience inc. v thompson', 'oceana inc. v locke', 'cayuga nation v bernhardt', 'united states v mead corp.', 'auer v robbins', 'nw. immigrant rts. project v uscis', 'royal siam corp. v chertoff', 'fogo de chao holdings inc. v u.s. dept of homeland sec.', 'malat v riddell', 'amfac resorts l.l.c. v u.s. dept of the interior', 'natl assn of home builders v epa', 'james madison ltd. by hecht v ludwig', 'anr pipeline co. v ferc', 'physicians for soc. resp. v wheeler', 'motor vehicle mfrs. assn of u.s. inc. v state farm mut. auto. ins.', 'natl assn of mfrs. v dept of lab.', 'bowles v seminole rock & sand co.', 'open society institute v us citizenship and immigration services', 'pub. citizen inc. v faa', 'hill dermaceuticals inc. v food & drug admin.']","[]","[{'title': 'kaye v united states citizenship and immigration services', 'chunk': 'The United States District Court for the District of Columbia case, Allen E. Kaye v. United States Citizenship and Immigration Services, Civil Action No. 16-cv-485 (TSC), involved a FOIA request. The court granted Defendant’s motion, entering summary judgement, and dismissed the action with prejudice on October 4, 2016.'}, {'title': 'wang v united states citizenship and immigration services', 'chunk': 'l-le noted that the complaint challenged the USCIS interpretation of the statute, which is a legal question Tr. of Proceedings, page 29-31. To the extent this argument may have been raised in the MTR, counsel admitted that it was not supported by pertinent precedentl Tr. of 1 Proceedings, page 30; see also Section 103.5(a)(3). Moreover, this argument is directly contrary to Plaintiff s briefing, which emphasized that the Plaintiffs argument for reconsideration assumed the correctness of the USCIS loan- -proceeds policy. See Pl.’ s Opp. to Defs.’ Mot. Dismiss at 27 28 n ll  12'}, {'title': 'wang v united states citizenship and immigration services', 'chunk': 'l-le noted that the complaint challenged the USCIS interpretation of the statute, which is a legal question Tr. of Proceedings, page 29-31. To the extent this argument may have been raised in the MTR, counsel admitted that it was not supported by pertinent precedentl Tr. of 1 Proceedings, page 30; see also Section 103.5(a)(3). Moreover, this argument is directly contrary to Plaintiff s briefing, which emphasized that the Plaintiffs argument for reconsideration assumed the correctness of the USCIS loan- -proceeds policy. See Pl.’ s Opp. to Defs.’ Mot. Dismiss at 27 28 n ll  12'}]","0","0","0"
"A group of international students had their F-1 visas terminated by the Department of Homeland Security (DHS) after discovering they were ""enrolled"" in a sham university created by DHS as part of a sting operation. The termination letter stated their SEVIS record and Form I-20 had been set to ""Terminated due to your fraudulent enrollment."" The students filed a federal lawsuit challenging the termination, alleging violations of the Administrative Procedure Act (APA) and Due Process, and seeking an order prohibiting the Government from finding they committed fraud. The District Court dismissed the claims for lack of subject matter jurisdiction, concluding the DHS action was not final because reinstatement proceedings were pending and the case was not ripe for review. The students appealed. If these students were to proceed with their appeal, would the appellate court likely find that the DHS's termination of their F-1 visas constitutes a final agency action ripe for judicial review under the APA?","Yes, the appellate court would likely find that DHS's termination of the F-1 visas constitutes a final agency action ripe for judicial review under the APA. The termination order marked the consummation of the agency's decision-making process by stripping the students of their lawful status and placing a fraud notation on their records, thus determining a ""right or obligation.""

The court would disagree with the District Court's conclusions regarding finality and ripeness for two main reasons:
1.  **Finality of Agency Action:**
    *   **Reinstatement Proceedings Are Not a Prerequisite for Review:** There is no statutory or regulatory requirement for students to seek reinstatement after F-1 visa termination. Moreover, reinstatement proceedings do not provide a mechanism to review the propriety of the original termination order or the ""fraudulent enrollment"" decision. Even if reinstatement is granted, it does not ""wipe away"" the prior agency decision.
    *   **Removal Proceedings Are Not a Prerequisite for Review:** The finality of an order cannot be conditioned on potential, uninitiated removal proceedings, which may never occur. Furthermore, neither immigration judges nor the Board of Immigration Appeals (BIA) have the authority to review the USCIS's discretionary denial of a motion to reinstate student status or to overturn the initial termination decision. Therefore, removal proceedings do not offer an opportunity to contest the agency action. The termination is the culmination, not the initiation, of the agency's decision-making process.
2.  **Ripeness for Review:**
    *   The case is ripe because the parties are in a sufficiently adversarial posture, and the students are genuinely aggrieved by the termination of their lawful status and the permanent ""fraud"" notation on their records. The government's shifting position on whether the students were victims or participants in the fraud further underscores the need for judicial review that would otherwise be absent. Ongoing reinstatement proceedings do not render the case unripe because they do not provide an avenue to review ICE's termination decision.","[]","['hosseini v johnson', 'tooloee v ins', 'babbitt v united farm workers natl union', 'qureshi v holder', 'young dong kim v holder', 'ftc v standard oil co. of cal.', 'jie fang v dir us immigration & customs enforcement', 'ghorbani v ins', 'palakovic v wetzel', 'bennett v spear', 'pinho v gonzales', 'felmeister v office of attorney ethics', 'cabaccang v uscis', 'peachlum v city of york', 'darby v cisneros', 'kashani v nelson', 'marathon petroleum corp. v secy of finance']","[]","[{'title': 'aguilar-mendez', 'chunk': 'The Immigration Judge also denied the respondent’s request for voluntary departure. The respondent argues on appeal that he is eligible for cancellation of removal because his conviction for assault under California law is not one for a crime involving moral turpitude. He also contends that he is eligible for voluntary departure and warrants this benefit as a matter of discretion. During the pendency of his appeal, he filed a motion to terminate, arguing that his notice to appear was defective and did not vest the Immigration Judge with jurisdiction over his removal proceedings because it failed to specify the time and date of his initial hearing. We review these questions of law, discretion, and judgment de novo. 8 C.F.R. § 1003.1(d)(3)(ii) (2020). II. ANALYSIS A. Cancellation of Removal  To establish eligibility for cancellation of removal, the respondent must demonstrate, among other things, that he has not been convicted of a crime involving moral turpitude under section 212(a)(2)(A)(i)(I) of the Act. Section 240A(b)(1)(C) of the Act; see also 8 C.F.R. § 1240.8(d) (2020).'}, {'title': 'jie fang v dir us immigration & customs enforcement', 'chunk': '. . for adjudication in removal proceedings[. ]”); see also, generally, Kashani v. Nelson, 793 F.2d 818 (7th Cir. 1986). 84 Qureshi, 663 F.3d at 780. 18  any suggestion that a student is not really harmed if no removal proceedings ever occur. We therefore reject any such claim as bearing on our finality inquiry. It is highly unlikely that any student will simply be allowed to remain here. Moreover, even if that were to happen, we do not think that any such students should be forced to permanently endure remaining here with the threat of imminent removal and all of its attendant circumstances permanently hanging over their heads. Second, removal proceedings do not offer an opportunity for review of the denial of reinstatement. Although we have never addressed the issue precedentially,85 both the BIA86 and our sister circuit courts of appeals87 have held that removal proceedings cannot function as review mechanisms for reinstatement proceedings.'}, {'title': 'jie fang v dir us immigration & customs enforcement', 'chunk': '. . for adjudication in removal proceedings[. ]”); see also, generally, Kashani v. Nelson, 793 F.2d 818 (7th Cir. 1986). 84 Qureshi, 663 F.3d at 780. 18  any suggestion that a student is not really harmed if no removal proceedings ever occur. We therefore reject any such claim as bearing on our finality inquiry. It is highly unlikely that any student will simply be allowed to remain here. Moreover, even if that were to happen, we do not think that any such students should be forced to permanently endure remaining here with the threat of imminent removal and all of its attendant circumstances permanently hanging over their heads. Second, removal proceedings do not offer an opportunity for review of the denial of reinstatement. Although we have never addressed the issue precedentially,85 both the BIA86 and our sister circuit courts of appeals87 have held that removal proceedings cannot function as review mechanisms for reinstatement proceedings.'}]","0","1","1"
"My petition for cancellation of removal was denied because the immigration judge found that the hardship my deportation would cause my American-citizen child was not ""exceptional and extremely unusual."" Can I successfully appeal this decision by arguing the judge applied the wrong legal standard or failed to adequately consider the dangerous conditions in my home country and the emotional impact on my son?","No, a federal court of appeals would likely deny your petition for review if the immigration judge (IJ) stated the correct ""exceptional and extremely unusual hardship"" standard. The court would review whether the correct legal standard was applied de novo and factual findings for substantial evidence. Simply arguing that the IJ did not consider or give sufficient weight to certain facts, such as dangerous conditions in your home country or the emotional and psychological peril to your son, would likely be seen as a challenge to the factual findings. Such a challenge would only succeed if the evidence compels a contrary result, meaning your family would suffer hardship above and beyond that regularly faced by families who are separated, which the court found was not established in a similar case.","[]","['alvarado de rodriguez v holder', 'trejo v garland', 'raymundo morales v garland', 'sealed petitioner v sealed respondent', 'hakim v holder', 'parada-orellana v garland']","[]","[{'title': 'grace v whitaker', 'chunk': 'The court case, Grace v. Whitaker, was rejected by the Fifth Circuit. It was argued that the IJ incorrectly decided the government of El Salvador was willing and able to protect Lopez-Perez. The court denied the petition for review.'}, {'title': 'omagah v ashcroft', 'chunk': ""The United States Court of Appeals for the Fifth Circuit denied the petition for review filed by Sandra Beatriz Bustamante-Leiva and her children regarding the Board of Immigration Appeals' denial of their asylum applications. The court reviewed the case on April 19, 2024. The case number is 22-60479.""}, {'title': 'barton v barr', 'chunk': ""Jorge Armando Ayala Chapa's petition for review of an order from the Board of Immigration Appeals was dismissed by the Fifth Circuit Court of Appeals on Feb 20, 2023. The court found it lacked jurisdiction to review the BIA's decision on his cancellation of removal claim due to his criminal history and procedural errors.""}]","0","0","0"
"Can a federal district court compel the immediate deportation of an alien who is currently incarcerated for first-degree murder and other serious felonies, despite a prior removal order?","No, a federal district court lacks subject matter jurisdiction to compel the immediate deportation of an alien who is currently incarcerated for criminal offenses, such as first-degree murder, because the Immigration and Nationality Act (INA) explicitly divests the court of such jurisdiction. The INA states that no court shall have jurisdiction over claims by aliens arising from removal order execution and that the Attorney General may not remove an alien sentenced to imprisonment until released from imprisonment. Furthermore, no claim can be asserted under the INA to compel the release or removal of an alien. Therefore, the extraordinary remedy of a writ of mandamus is unavailable as there is no clear and indisputable right to the requested relief.","[]","['gen. motors corp. v epa', 'earle v immigration & naturalization service', 'kokkonen v guardian life ins. co. of am.', 'cabral v i.n.s.', 'michel v i.n.s.', 'earle v i.n.s', 'sjogreen v reno', 'earle v u.s.', 'united states v velasquez']","[]","[{'title': 'garcia v barr', 'chunk': 'The court denied the petition for review in the case concerning Justin Enrique Ponce, who was convicted of injury to a child. The court reviewed legal conclusions de novo, including whether a state conviction makes an alien removable.'}, {'title': 'matter of leal', 'chunk': 'The Board of Immigration Appeals (BIA) held that making terroristic threats in violation of Minnesota Statutes section 609.713, subdivision 1, is categorically a crime involving moral turpitude. The case was remanded for further proceedings.'}, {'title': 'mathis v united states', 'chunk': ""The document is a US Court of Appeals for the Fifth Circuit filing, regarding Justin Enrique Ponce's petition for review of a Board of Immigration Appeals (BIA) order. Ponce, a citizen of El Salvador, was found removable after being convicted of injuring a child in Texas.""}]","0","0","0"
"Does 8 U.S.C. § 1421(c), which provides for judicial review of naturalization denials, preclude federal district court jurisdiction over separate Administrative Procedure Act (APA) and constitutional challenges to a U.S. Citizenship and Immigration Services (USCIS) policy underlying such denials?","Yes, 8 U.S.C. § 1421(c) precludes federal district court jurisdiction over separate APA and constitutional challenges to a USCIS policy underlying the denial of naturalization applications. Congress intended § 1421(c) to be the exclusive means for seeking judicial review of naturalization application denials, and this includes claims challenging the rationale underlying those denials, even if embodied in a ""policy."" The legislative history of the 1990 Act, which created the administrative naturalization system, indicates an intent to streamline the process while ensuring plenary judicial review through § 1421(c). The plaintiffs' claims are not ""wholly collateral"" but are ""inextricably intertwined"" with their naturalization denials, as they are ""at bottom"" an attempt to reverse the agency’s decisions denying their claims. Furthermore, § 1421(c) provides an ""adequate remedy"" because it allows for broad judicial review, including de novo review, the court making its own findings of fact and conclusions of law, and the full scope of APA review under 5 U.S.C. § 706(2), including constitutional claims and challenges to agency action as arbitrary, capricious, or contrary to law.","[]","['miriyeva v us citizenship and immigration services', 'nio v u.s. dept of homeland security', 'citizens for responsibility & ethics in wash. v u.s. dept of justice', 'calixto v dept of the army', 'kirwa v u.s. dept of defense', 'us immigration fund-ny llc v pekoske', 'bowen v mich. acad. of family physicians', 'jafarzadeh v duke', 'astakhov v united states citizenship and immigration services', 'o.a. v trump', 'garcia v vilsack', 'bowen v massachusetts']","[]","[{'title': 'phillip v fairfield univ.', 'chunk': 'Plaintiff sought a preliminary injunction or relief under 5 U.S.C. § 705, but the court denied the motion because employment authorization decisions by USCIS are discretionary and unreviewable under the APA.'}, {'title': 'patel v u.s. att’y gen.', 'chunk': 'Patel v. U.S. Att’y Gen., 971 F.3d 1258 is a legal case referenced in a discussion about federal court jurisdiction over immigration removal orders.'}, {'title': 'shawnee tribe v mnuchin', 'chunk': 'Shawnee Tribe v. Mnuchin, 984 F.3d 94, concerns agency action committed to discretion by law under 5 U.S.C. § 701(a)(2).'}]","0","0","0"
"Under what circumstances might a U.S. federal court find that the United States Citizenship and Immigration Services (USCIS) acted arbitrarily and capriciously in denying an H-1B visa petition for a computer systems analyst position, specifically concerning the determination of whether the position qualifies as a ""specialty occupation"" based on the normal minimum degree requirement and industry common practice?","A U.S. federal court found that USCIS acted arbitrarily and capriciously in denying an H-1B visa petition for a computer systems analyst position by disregarding or failing to explain why it discounted substantial evidence in the administrative record. Specifically, the court found fault with USCIS's analysis regarding two criteria for a specialty occupation under 8 C.F.R. § 214.2(h)(4)(iii)(A): (1) whether a baccalaureate or higher degree or its equivalent is normally the minimum requirement for entry into the particular position, and (2) whether the degree requirement is common to the industry in parallel positions among similar organizations. The court concluded that USCIS misinterpreted or misapplied the law by effectively holding the plaintiff to a higher standard (requiring a degree ""always"" instead of ""normally"") when evaluating the Occupational Outlook Handbook, and by providing insufficient reasoning for dismissing comparator job postings. The case was remanded to USCIS for further consideration consistent with the court's opinion.","[]","['blacher v ridge', 'united states v.', '3q digital inc. v uscis', 'xiaotong liu v baran', 'susquehanna intl grp. llp v sec', 'royal siam corp. v chertoff', 'defensor v meissner', 'citizens to preserve overton park inc. v volpe', 'at&t inc. v fcc', 'next generation tech. inc. v johnson', 'defs. of wildlife v jewell', 'ardmore consulting grp. inc. v contreras-sweet', 'camp v pitts', 'motor vehicle mfrs. assn of u.s. inc. v state farm mut. auto. ins.', 'exxonmobil gas mktg. co. v ferc', 'info labs inc v united states citizenship and immigration services', 'natl tel. coop. assn v fcc', 'sagarwala v cissna', 'mori v dept of the navy', 'fla. power & light co. v lorion', 'ctr. for food safety v salazar', 'conservation law found. v ross', 'ajit healthcare inc. v dhs', 'kaiser found. hosps. v sebelius']","[]","[{'title': 'burlington truck lines, inc. v united states', 'chunk': ""The court case Info Labs Inc. v. UNITED STATES CITIZENSHIP AND IMMIGRATION SERVICES, et al. regarding an H-1B visa for Mr. Dinesh Kumar Tatavarthi, was granted in favor of Info Labs. USCIS's decision was deemed arbitrary and capricious, and remanded for reconsideration.""}, {'title': 'auer v robbins', 'chunk': ""The court case involves Stellar IT Solutions, Inc. and Kartik Krishnamurthy against the United States Citizenship and Immigration Services (USCIS) concerning Krishnamurthy's H-1B visa. The court granted Plaintiffs' motion for summary judgment and denied Defendant's cross motion, remanding the case to the agency.""}, {'title': 'citizens for responsibility & ethics in wash. v sec', 'chunk': 'The provided text is a memorandum opinion from the United States District Court for the District of Columbia regarding Vision Builders, LLC v. United States Citizenship and Immigration Services, a case concerning an H-1B visa petition. The court granted summary judgment to USCIS.'}]","0","0","0"
"Can proceeds from a loan be classified as ""cash"" under 8 C.F.R. § 204.6(e) for an EB-5 immigrant investor visa, or must they be considered ""indebtedness"" subject to collateralization requirements?","Proceeds from a loan can be classified as ""cash"" under 8 C.F.R. § 204.6(e) for an EB-5 immigrant investor visa. The court ruled that USCIS's interpretation, which categorizes loan proceeds as ""indebtedness"" requiring collateralization, is plainly erroneous because it conflicts with the language and history of the regulation and USCIS's own precedent. The court stated that ""Cash—even if obtained from a loan—is still cash,"" and that ""indebtedness"" refers to the condition of owing money, typically when an investor promises to pay the new commercial enterprise later, rather than the immediate payment of cash.","[]","['chase bank usa v mccoy', 'kisor v wilkie', 'fund for animals v babbitt', 'zhang', 'richards v i.n.s.', 'chang v uscis', 'christopher v smithkline beecham corp.', 'ftc v tarriff', 'williams v taylor', 'fla. power & light co. v lorion', 'ramaprakash v fed. aviation admin.', 'wang v united states citizenship and immigration services', 'wang v uscis', 'bowen v georgetown univ. hosp.', 'united states v mead corp.']","[]","[{'title': 'huashan zhang v u.s. citizenship & immigr. servs.', 'chunk': ""The court found USCIS's interpretation of EB-5 capital regulations to be arbitrary and capricious, granting Siqing Wang's motion for summary judgment in part. The case involved $500,000 in loan proceeds for an investor visa.""}, {'title': 'r.l. investment limited partners v ins', 'chunk': 'R.L. Investment Limited Partners v. INS involved a sell option, where the applicant was guaranteed repayment. The court found this guaranteed repayment violated EB-5 regulations, equating it to a loan.'}, {'title': 'matter of lok', 'chunk': ""Matter of Lok, 18 I. & N. Dec. 101 (BIA 1981), established that an alien's LPR status ends with a final deportation order.""}]","0","0","0"
"An agency receives a Freedom of Information Act (FOIA) request for ""records of guidelines, procedures, protocols, or policies"" related to specific practices of its regional courts and judges, such as scheduling hearings and adjudicating motions for continuance. The agency interprets the request as limited to official and centrally disseminated policies issued by its chief judicial office, and conducts searches only within that office and its public-facing intranet, finding only a few documents. The requester argues that the search is inadequate because it failed to include local operating procedures or policies that might be established and held by assistant chief judges or individual courts. How should a court rule on the agency's interpretation of the request and the adequacy of its search?","A court would rule that the agency properly interpreted the request as seeking only official policy documents, as the terms ""guidelines, procedures, protocols, or policies"" by their nature refer to official documents. However, the court would find that the agency improperly narrowed the scope of the request by limiting its search solely to centrally disseminated records from the chief judicial office. The agency's search of the chief judicial office and its intranet site was adequate for centrally disseminated records. Nonetheless, the search was inadequate because the agency failed to search repositories likely to contain local operating procedures or policies, specifically the email accounts of Assistant Chief Immigration Judges (ACIJs) and shared drives where individual immigration courts might store standing orders, given that individual immigration courts have the authority to establish their own local operating procedures. The agency was correct in declining to search for records related to the implementation of a proposed rule that had not yet become final, as that part of the request was too vague. The agency properly applied FOIA Exemption 6 and satisfied its segregability obligations.","[]","['pub. citizen health rsch. grp. v food and drug admin.', 'oglesby v u.s. dept of the army', 'mil. audit project v casey', 'dept of air force v rose', 'urb. air initiative inc. v envt prot. agency', 'hodge v fbi', 'truitt v dept of state', 'iturralde v comptroller of the currency', 'perry v block', 'prop. of the people inc. v united states dept of just.', 'landmark legal found. v envt prot. agency', 'leopold v dept of just.', 'wolf v cia', 'hardy v bureau of alcohol tobacco firearms and explosives', 'montgomery v chao', 'people for am. way found. v u.s. dept of just.', 'watkins l. & advoc. pllc v u.s. dept of just.', 'kowal v u.s. dept of just.', 'leopold v cia', 'ryan v fbi', 'moore v bush', 'miller v casey', 'weisberg v u.s. dept of just.', 'american chemistry council inc. v u.s. dept of health & human servs.', 'american immigration council v executive office for immigration review', 'u.s. dept of just. v tax analysts', 'mckinley v fed. deposit ins. corp.', 'citizens for resp. and ethics in wash. v u.s. dept of just.', 'nation mag. washington bureau v u.s. customs serv.', 'conservation force v ashe', 'u.s. dept of state v ray', 'loving v dept of def.']","[]","[{'title': 'garcia ramirez v us immigration and custom enforcement', 'chunk': 'SO ORDERED. Dated: September 21, 2021 RUDOLPH CONTRERAS United States District Judge  18 The Court does note that in light of ICE’s recent reports of low age-out detention rates, see Defs.’ Supp. Resp. at 3 (noting ICE released 99% of age-outs from May 1, 2020 to May 31, 2021), extensive monitoring efforts are likely less of a necessity at present unless the factual circumstances change. Moreover, some of these monitoring duties can be accomplished by the public interest lawyers that also represent Plaintiffs and who would not suffer the same economic opportunity costs suffered by the Kirkland & Ellis LLC firm attorneys. 50'}, {'title': 'baker & hostetler llp v u.s. dep’t of commerce', 'chunk': 'The court case, Nelson J. Mezerhane Gosen v. United States Citizenship and Immigration Services, concerns the FOIA request for documents related to the asylum application of Nelson Mezerhane Gosen. The court ruled in favor of USCIS on Exemptions 6, 7(C), and 7(E), but denied summary judgment regarding Exemption 5.'}, {'title': 'defs. of wildlife v u.s. border patrol', 'chunk': 'The court case in the document involves Plaintiff Nelson Mezerhane Gosen and Defendant U.S. Citizenship and Immigration Services (USCIS) concerning a FOIA request. USCIS withheld documents, citing exemptions, and the court reviewed and ruled on the matter on December 4, 2014, with Judge Ketanji Brown Jackson presiding.'}]","0","0","0"
"An individual received a Notice to Appear (NTA) for removal proceedings that omitted the specific date and time of the hearing. Subsequently, they received a separate Notice of Hearing (NOH) via regular mail that included all the necessary hearing details. They failed to appear and an in absentia removal order was issued. Fifteen years later, the individual moved to rescind the order and reopen proceedings, claiming non-receipt of both notices and arguing the initial NTA was jurisdictionally defective. They submitted an affidavit attesting to non-receipt. They also requested the immigration judge exercise sua sponte authority to reopen the case.

Based on the provided Fifth Circuit decision, what is the likely outcome of their appeal regarding the rescission of the in absentia order and the denial of the motion to reopen?","The appeal would likely be denied in part and dismissed in part.
1.  **Jurisdiction:** The statutorily deficient NTA, which initially lacked the hearing date and time, did not deprive the immigration judge of jurisdiction to conduct the removal proceedings, as the regulation governing NTAs is a claim-processing rule, not a jurisdictional one.
2.  **Validity of In Absentia Order:** The subsequent NOH, which provided the date and time for the missed hearing, cured any defects in the initial NTA, rendering the in absentia removal order valid under the precedent set by *Campos-Chaves*.
3.  **Rebutting Presumption of Delivery:** While the NOH was sent via regular mail, triggering a weaker presumption of delivery, the individual's affidavit alone was not sufficient to rebut this presumption. The Board of Immigration Appeals (BIA) would consider the totality of the circumstances, including the absence of any indication that the notices were returned as undeliverable and the individual's lack of due diligence, when determining that the presumption of delivery was not overcome.
4.  **Sua Sponte Reopening:** A federal court of appeals lacks jurisdiction to review the BIA’s decision not to exercise its discretion to reopen proceedings sua sponte.","[]","['navarrete-lopez v barr', 'luna v garland', 'mauricio-benitez v sessions', 'rodriguez v garland', 'pereira v sessions', 'alexandre-matias v garland', 'singh v garland', 'campos-chaves v garland', 'hernandez-castillo v sessions', 'qorane v barr']","[]","[{'title': 'aguilar-mendez', 'chunk': 'The Immigration Judge also denied the respondent’s request for voluntary departure. The respondent argues on appeal that he is eligible for cancellation of removal because his conviction for assault under California law is not one for a crime involving moral turpitude. He also contends that he is eligible for voluntary departure and warrants this benefit as a matter of discretion. During the pendency of his appeal, he filed a motion to terminate, arguing that his notice to appear was defective and did not vest the Immigration Judge with jurisdiction over his removal proceedings because it failed to specify the time and date of his initial hearing. We review these questions of law, discretion, and judgment de novo. 8 C.F.R. § 1003.1(d)(3)(ii) (2020). II. ANALYSIS A. Cancellation of Removal  To establish eligibility for cancellation of removal, the respondent must demonstrate, among other things, that he has not been convicted of a crime involving moral turpitude under section 212(a)(2)(A)(i)(I) of the Act. Section 240A(b)(1)(C) of the Act; see also 8 C.F.R. § 1240.8(d) (2020).'}, {'title': 'stellar it solutions inc v united states citizenship and immigration services', 'chunk': 'An order consistent with this Memorandum Opinion is separately and  contemporaneously issued. Dated: June 12, 2020 RUDOLPH CONTRERAS United States District Judge  7 The Court notes that USCIS may consider an additional matter on remand: whether the underlying basis for the petition—Mr. Krishnamurthy’s pending application for permanent residency—still allows for a one-year extension of his H-1B visa. If the pending application has since resulted in a final decision, Mr. Krishnamurthy may not be entitled to a one-year extension beyond the statutory cap. See 8 C.F.R. § 214.2(h)(13)(iii)(D). 17'}, {'title': 'st francis cabrini immigration law center', 'chunk': 'The organization had an opportunity in its initial application to explain its operating procedures and fully distinguish itself from its for-profit affiliate. It has also had ample opportunity to respond to the DHS’s recommendation against approval, but  447  Cite as 26 I&N Dec. 445 (BIA 2014) Interim Decision #3819  to date it has not done so. Since we have not been persuaded that the applicant organization will remain separate and apart from the for-profit venture with which it is colocated and shares personnel, officers, and directors, we will not grant recognition. Without recognition of the applicant organization, there is no basis for us to address the qualifications of the individuals for whom accreditation is sought to represent the organization. ORDER: The application for recognition is disapproved. 448'}]","0","0","0"
