question,golden_answers,golden_law_context,golden_case_context,top_k_law_statutes,top_k_case_statutes,any_correct_law_retrieved,any_correct_case_retrieved,any_correct_retrieved
"An individual in removal proceedings had their application for asylum and other relief denied due to failure to submit biometrics, despite being previously instructed by the Immigration Judge while pro se. They subsequently retained counsel, who also failed to advise them about the biometrics requirement. After the denial, and more than 90 days after the final order of removal, they filed a motion to reopen, arguing ineffective assistance of counsel prevented a merits hearing and that this justified equitable tolling of the filing deadline. They also requested *sua sponte* reopening by the Board of Immigration Appeals. Could this individual successfully overturn the denial of their motion to reopen based on equitable tolling due to counsel's ineffectiveness or compel the BIA to *sua sponte* reopen their case?","No, the individual could not successfully overturn the denial of their motion to reopen based on equitable tolling or compel the BIA to *sua sponte* reopen their case. The court found that even if counsel's failure to remind about biometrics was ineffective, there was no argument that counsel's ineffectiveness caused the motion to reopen itself to be untimely filed. The failure to move in a timely fashion to reopen was an independent basis for denying relief, and the individual failed to show any basis for equitable tolling of the filing deadline for reopening. Additionally, the court lacks jurisdiction to review the BIA's discretionary decision not to invoke its *sua sponte* authority to reopen a case.",,,,,,,
"An organization, ""Global Solutions Institute,"" seeks an H-1B visa cap exemption as a ""nonprofit research organization."" USCIS denies the petition, interpreting ""primarily engaged in basic research and/or applied research"" to mean ""directly and principally engaged in research,"" and finds Global Solutions Institute's evidence insufficient to meet this standard. Global Solutions Institute challenges this denial under the Administrative Procedure Act, arguing that USCIS misinterpreted its regulation, its decision lacked factual support, and it failed to explain its departure from prior approvals of similar petitions. Based on the provided case, how would a U.S. federal court likely rule on Global Solutions Institute's challenge?","A U.S. federal court would likely rule in favor of USCIS, upholding the denial of the H-1B visa cap exemption. The court in the analogous case found USCIS's interpretation of ""primarily engaged in basic research and/or applied research"" as meaning ""directly and principally engaged in research"" to be unambiguously correct, aligning with dictionary definitions, statutory text, and regulatory history. The court would likely defer to the agency's factual assessment, finding that USCIS's conclusion that the organization failed to meet its evidentiary burden was fair and reasonable, considering the evidence in proportion to its other activities. Finally, regarding prior approvals, the court would likely find that an agency is permitted to change its position, and USCIS adequately explained its decision by acknowledging prior approvals and providing a detailed, reasoned analysis of the current petition based on the record, which is sufficient under the Administrative Procedure Act.",,,,,,,
"A group of international students had their F-1 visas terminated by the Department of Homeland Security (DHS) after discovering they were ""enrolled"" in a sham university created by DHS as part of a sting operation. The termination letter stated their SEVIS record and Form I-20 had been set to ""Terminated due to your fraudulent enrollment."" The students filed a federal lawsuit challenging the termination, alleging violations of the Administrative Procedure Act (APA) and Due Process, and seeking an order prohibiting the Government from finding they committed fraud. The District Court dismissed the claims for lack of subject matter jurisdiction, concluding the DHS action was not final because reinstatement proceedings were pending and the case was not ripe for review. The students appealed. If these students were to proceed with their appeal, would the appellate court likely find that the DHS's termination of their F-1 visas constitutes a final agency action ripe for judicial review under the APA?","Yes, the appellate court would likely find that DHS's termination of the F-1 visas constitutes a final agency action ripe for judicial review under the APA. The termination order marked the consummation of the agency's decision-making process by stripping the students of their lawful status and placing a fraud notation on their records, thus determining a ""right or obligation.""

The court would disagree with the District Court's conclusions regarding finality and ripeness for two main reasons:
1.  **Finality of Agency Action:**
    *   **Reinstatement Proceedings Are Not a Prerequisite for Review:** There is no statutory or regulatory requirement for students to seek reinstatement after F-1 visa termination. Moreover, reinstatement proceedings do not provide a mechanism to review the propriety of the original termination order or the ""fraudulent enrollment"" decision. Even if reinstatement is granted, it does not ""wipe away"" the prior agency decision.
    *   **Removal Proceedings Are Not a Prerequisite for Review:** The finality of an order cannot be conditioned on potential, uninitiated removal proceedings, which may never occur. Furthermore, neither immigration judges nor the Board of Immigration Appeals (BIA) have the authority to review the USCIS's discretionary denial of a motion to reinstate student status or to overturn the initial termination decision. Therefore, removal proceedings do not offer an opportunity to contest the agency action. The termination is the culmination, not the initiation, of the agency's decision-making process.
2.  **Ripeness for Review:**
    *   The case is ripe because the parties are in a sufficiently adversarial posture, and the students are genuinely aggrieved by the termination of their lawful status and the permanent ""fraud"" notation on their records. The government's shifting position on whether the students were victims or participants in the fraud further underscores the need for judicial review that would otherwise be absent. Ongoing reinstatement proceedings do not render the case unripe because they do not provide an avenue to review ICE's termination decision.",,,,,,,
"My petition for cancellation of removal was denied because the immigration judge found that the hardship my deportation would cause my American-citizen child was not ""exceptional and extremely unusual."" Can I successfully appeal this decision by arguing the judge applied the wrong legal standard or failed to adequately consider the dangerous conditions in my home country and the emotional impact on my son?","No, a federal court of appeals would likely deny your petition for review if the immigration judge (IJ) stated the correct ""exceptional and extremely unusual hardship"" standard. The court would review whether the correct legal standard was applied de novo and factual findings for substantial evidence. Simply arguing that the IJ did not consider or give sufficient weight to certain facts, such as dangerous conditions in your home country or the emotional and psychological peril to your son, would likely be seen as a challenge to the factual findings. Such a challenge would only succeed if the evidence compels a contrary result, meaning your family would suffer hardship above and beyond that regularly faced by families who are separated, which the court found was not established in a similar case.",,,,,,,
"Can a federal district court compel the immediate deportation of an alien who is currently incarcerated for first-degree murder and other serious felonies, despite a prior removal order?","No, a federal district court lacks subject matter jurisdiction to compel the immediate deportation of an alien who is currently incarcerated for criminal offenses, such as first-degree murder, because the Immigration and Nationality Act (INA) explicitly divests the court of such jurisdiction. The INA states that no court shall have jurisdiction over claims by aliens arising from removal order execution and that the Attorney General may not remove an alien sentenced to imprisonment until released from imprisonment. Furthermore, no claim can be asserted under the INA to compel the release or removal of an alien. Therefore, the extraordinary remedy of a writ of mandamus is unavailable as there is no clear and indisputable right to the requested relief.",,,,,,,
"Does 8 U.S.C. § 1421(c), which provides for judicial review of naturalization denials, preclude federal district court jurisdiction over separate Administrative Procedure Act (APA) and constitutional challenges to a U.S. Citizenship and Immigration Services (USCIS) policy underlying such denials?","Yes, 8 U.S.C. § 1421(c) precludes federal district court jurisdiction over separate APA and constitutional challenges to a USCIS policy underlying the denial of naturalization applications. Congress intended § 1421(c) to be the exclusive means for seeking judicial review of naturalization application denials, and this includes claims challenging the rationale underlying those denials, even if embodied in a ""policy."" The legislative history of the 1990 Act, which created the administrative naturalization system, indicates an intent to streamline the process while ensuring plenary judicial review through § 1421(c). The plaintiffs' claims are not ""wholly collateral"" but are ""inextricably intertwined"" with their naturalization denials, as they are ""at bottom"" an attempt to reverse the agency’s decisions denying their claims. Furthermore, § 1421(c) provides an ""adequate remedy"" because it allows for broad judicial review, including de novo review, the court making its own findings of fact and conclusions of law, and the full scope of APA review under 5 U.S.C. § 706(2), including constitutional claims and challenges to agency action as arbitrary, capricious, or contrary to law.",,,,,,,
"Under what circumstances might a U.S. federal court find that the United States Citizenship and Immigration Services (USCIS) acted arbitrarily and capriciously in denying an H-1B visa petition for a computer systems analyst position, specifically concerning the determination of whether the position qualifies as a ""specialty occupation"" based on the normal minimum degree requirement and industry common practice?","A U.S. federal court found that USCIS acted arbitrarily and capriciously in denying an H-1B visa petition for a computer systems analyst position by disregarding or failing to explain why it discounted substantial evidence in the administrative record. Specifically, the court found fault with USCIS's analysis regarding two criteria for a specialty occupation under 8 C.F.R. § 214.2(h)(4)(iii)(A): (1) whether a baccalaureate or higher degree or its equivalent is normally the minimum requirement for entry into the particular position, and (2) whether the degree requirement is common to the industry in parallel positions among similar organizations. The court concluded that USCIS misinterpreted or misapplied the law by effectively holding the plaintiff to a higher standard (requiring a degree ""always"" instead of ""normally"") when evaluating the Occupational Outlook Handbook, and by providing insufficient reasoning for dismissing comparator job postings. The case was remanded to USCIS for further consideration consistent with the court's opinion.",,,,,,,
"Can proceeds from a loan be classified as ""cash"" under 8 C.F.R. § 204.6(e) for an EB-5 immigrant investor visa, or must they be considered ""indebtedness"" subject to collateralization requirements?","Proceeds from a loan can be classified as ""cash"" under 8 C.F.R. § 204.6(e) for an EB-5 immigrant investor visa. The court ruled that USCIS's interpretation, which categorizes loan proceeds as ""indebtedness"" requiring collateralization, is plainly erroneous because it conflicts with the language and history of the regulation and USCIS's own precedent. The court stated that ""Cash—even if obtained from a loan—is still cash,"" and that ""indebtedness"" refers to the condition of owing money, typically when an investor promises to pay the new commercial enterprise later, rather than the immediate payment of cash.",,,,,,,
"An agency receives a Freedom of Information Act (FOIA) request for ""records of guidelines, procedures, protocols, or policies"" related to specific practices of its regional courts and judges, such as scheduling hearings and adjudicating motions for continuance. The agency interprets the request as limited to official and centrally disseminated policies issued by its chief judicial office, and conducts searches only within that office and its public-facing intranet, finding only a few documents. The requester argues that the search is inadequate because it failed to include local operating procedures or policies that might be established and held by assistant chief judges or individual courts. How should a court rule on the agency's interpretation of the request and the adequacy of its search?","A court would rule that the agency properly interpreted the request as seeking only official policy documents, as the terms ""guidelines, procedures, protocols, or policies"" by their nature refer to official documents. However, the court would find that the agency improperly narrowed the scope of the request by limiting its search solely to centrally disseminated records from the chief judicial office. The agency's search of the chief judicial office and its intranet site was adequate for centrally disseminated records. Nonetheless, the search was inadequate because the agency failed to search repositories likely to contain local operating procedures or policies, specifically the email accounts of Assistant Chief Immigration Judges (ACIJs) and shared drives where individual immigration courts might store standing orders, given that individual immigration courts have the authority to establish their own local operating procedures. The agency was correct in declining to search for records related to the implementation of a proposed rule that had not yet become final, as that part of the request was too vague. The agency properly applied FOIA Exemption 6 and satisfied its segregability obligations.",,,,,,,
"An individual received a Notice to Appear (NTA) for removal proceedings that omitted the specific date and time of the hearing. Subsequently, they received a separate Notice of Hearing (NOH) via regular mail that included all the necessary hearing details. They failed to appear and an in absentia removal order was issued. Fifteen years later, the individual moved to rescind the order and reopen proceedings, claiming non-receipt of both notices and arguing the initial NTA was jurisdictionally defective. They submitted an affidavit attesting to non-receipt. They also requested the immigration judge exercise sua sponte authority to reopen the case.

Based on the provided Fifth Circuit decision, what is the likely outcome of their appeal regarding the rescission of the in absentia order and the denial of the motion to reopen?","The appeal would likely be denied in part and dismissed in part.
1.  **Jurisdiction:** The statutorily deficient NTA, which initially lacked the hearing date and time, did not deprive the immigration judge of jurisdiction to conduct the removal proceedings, as the regulation governing NTAs is a claim-processing rule, not a jurisdictional one.
2.  **Validity of In Absentia Order:** The subsequent NOH, which provided the date and time for the missed hearing, cured any defects in the initial NTA, rendering the in absentia removal order valid under the precedent set by *Campos-Chaves*.
3.  **Rebutting Presumption of Delivery:** While the NOH was sent via regular mail, triggering a weaker presumption of delivery, the individual's affidavit alone was not sufficient to rebut this presumption. The Board of Immigration Appeals (BIA) would consider the totality of the circumstances, including the absence of any indication that the notices were returned as undeliverable and the individual's lack of due diligence, when determining that the presumption of delivery was not overcome.
4.  **Sua Sponte Reopening:** A federal court of appeals lacks jurisdiction to review the BIA’s decision not to exercise its discretion to reopen proceedings sua sponte.",,,,,,,
